"","postcode","RA_NAME_2021","GCCSA_NAME_2021","STATE_NAME_2021","SA2_NAME_2021","SA3_NAME_2021","SA4_NAME_2021","sort"
"82","2065","Major Cities of Australia","Greater Sydney","New South Wales","Greenwich - Riverview","Chatswood - Lane Cove","Sydney - North Sydney and Hornsby",1
"83","2066","Major Cities of Australia","Greater Sydney","New South Wales","Chatswood (West) - Lane Cove North","Chatswood - Lane Cove","Sydney - North Sydney and Hornsby",1
"84","2067","Major Cities of Australia","Greater Sydney","New South Wales","Chatswood - East","Chatswood - Lane Cove","Sydney - North Sydney and Hornsby",1
"85","2068","Major Cities of Australia","Greater Sydney","New South Wales","Willoughby","Chatswood - Lane Cove","Sydney - North Sydney and Hornsby",1
"86","2069","Major Cities of Australia","Greater Sydney","New South Wales","Lindfield - Roseville","Ku-ring-gai","Sydney - North Sydney and Hornsby",1
"87","2070","Major Cities of Australia","Greater Sydney","New South Wales","Lindfield - Roseville","Ku-ring-gai","Sydney - North Sydney and Hornsby",1
"88","2071","Major Cities of Australia","Greater Sydney","New South Wales","Gordon - Killara","Ku-ring-gai","Sydney - North Sydney and Hornsby",1
"89","2072","Major Cities of Australia","Greater Sydney","New South Wales","Gordon - Killara","Ku-ring-gai","Sydney - North Sydney and Hornsby",1
"90","2073","Major Cities of Australia","Greater Sydney","New South Wales","Pymble","Ku-ring-gai","Sydney - North Sydney and Hornsby",1
"91","2074","Major Cities of Australia","Greater Sydney","New South Wales","Turramurra","Ku-ring-gai","Sydney - North Sydney and Hornsby",1
"92","2075","Major Cities of Australia","Greater Sydney","New South Wales","St Ives","Ku-ring-gai","Sydney - North Sydney and Hornsby",1
"93","2076","Major Cities of Australia","Greater Sydney","New South Wales","Wahroonga (East) - Warrawee","Ku-ring-gai","Sydney - North Sydney and Hornsby",1
"94","2077","Major Cities of Australia","Greater Sydney","New South Wales","Hornsby - East","Hornsby","Sydney - North Sydney and Hornsby",1
"95","2079","Major Cities of Australia","Greater Sydney","New South Wales","Asquith - Mount Colah","Hornsby","Sydney - North Sydney and Hornsby",1
"96","2080","Major Cities of Australia","Greater Sydney","New South Wales","Asquith - Mount Colah","Hornsby","Sydney - North Sydney and Hornsby",1
"97","2081","Major Cities of Australia","Greater Sydney","New South Wales","Berowra - Brooklyn - Cowan","Hornsby","Sydney - North Sydney and Hornsby",1
"98","2082","Major Cities of Australia","Greater Sydney","New South Wales","Berowra - Brooklyn - Cowan","Hornsby","Sydney - North Sydney and Hornsby",1
"99","2083","Inner Regional Australia","Greater Sydney","New South Wales","Berowra - Brooklyn - Cowan","Hornsby","Sydney - North Sydney and Hornsby",2
"100","2084","Major Cities of Australia","Greater Sydney","New South Wales","Terrey Hills - Duffys Forest","Warringah","Sydney - Northern Beaches",1
"101","2085","Major Cities of Australia","Greater Sydney","New South Wales","Belrose","Warringah","Sydney - Northern Beaches",1
"102","2086","Major Cities of Australia","Greater Sydney","New South Wales","Frenchs Forest - Oxford Falls","Warringah","Sydney - Northern Beaches",1
"103","2087","Major Cities of Australia","Greater Sydney","New South Wales","Forestville - Killarney Heights","Warringah","Sydney - Northern Beaches",1
"104","2088","Major Cities of Australia","Greater Sydney","New South Wales","Mosman - South","North Sydney - Mosman","Sydney - North Sydney and Hornsby",1
"105","2089","Major Cities of Australia","Greater Sydney","New South Wales","Neutral Bay - Kirribilli","North Sydney - Mosman","Sydney - North Sydney and Hornsby",1
"106","2090","Major Cities of Australia","Greater Sydney","New South Wales","Cremorne - Cammeray","North Sydney - Mosman","Sydney - North Sydney and Hornsby",1
"107","2092","Major Cities of Australia","Greater Sydney","New South Wales","Balgowlah - Clontarf - Seaforth","Manly","Sydney - Northern Beaches",1
"108","2093","Major Cities of Australia","Greater Sydney","New South Wales","Balgowlah - Clontarf - Seaforth","Manly","Sydney - Northern Beaches",1
"109","2094","Major Cities of Australia","Greater Sydney","New South Wales","Manly - Fairlight","Manly","Sydney - Northern Beaches",1
"110","2095","Major Cities of Australia","Greater Sydney","New South Wales","Manly - Fairlight","Manly","Sydney - Northern Beaches",1
"111","2096","Major Cities of Australia","Greater Sydney","New South Wales","Freshwater - Brookvale","Warringah","Sydney - Northern Beaches",1
"112","2097","Major Cities of Australia","Greater Sydney","New South Wales","Collaroy - Collaroy Plateau","Warringah","Sydney - Northern Beaches",1
"113","2099","Major Cities of Australia","Greater Sydney","New South Wales","Dee Why (South) - North Curl Curl","Warringah","Sydney - Northern Beaches",1
"114","2100","Major Cities of Australia","Greater Sydney","New South Wales","Manly Vale - Allambie Heights","Warringah","Sydney - Northern Beaches",1
"115","2101","Major Cities of Australia","Greater Sydney","New South Wales","North Narrabeen - Warriewood (South)","Pittwater","Sydney - Northern Beaches",1
"116","2102","Major Cities of Australia","Greater Sydney","New South Wales","Mona Vale - Warriewood (North)","Pittwater","Sydney - Northern Beaches",1
"117","2103","Major Cities of Australia","Greater Sydney","New South Wales","Mona Vale - Warriewood (North)","Pittwater","Sydney - Northern Beaches",1
"118","2104","Major Cities of Australia","Greater Sydney","New South Wales","Bayview - Elanora Heights","Pittwater","Sydney - Northern Beaches",1
